Symbol,MeanLogReturn,StdLogReturn,MinLogReturn,MaxLogReturn
ABEPF,-0.015141161707988482,0.06587351351408621,-0.1713815797238026,0.0779614631603059
ABEQ,0.00030325571357873695,0.0056950646894737,-0.0132229159601769,0.0096180248380423
ABEV,-0.002539304556336216,0.012753023772773804,-0.0293060984282184,0.0252265391019595
ABFRF,,,,
ABG,-0.0010688910005310524,0.02140905284135557,-0.0656999607483972,0.0312990025972457
ABGSF,0.0028937990853422526,0.012613777775917311,0.0,0.0549821826215028
ABIT,-0.0019140846679958046,0.10147597806976985,-0.1557913644178105,0.2009918637182861
ABL,0.010088946582443262,0.0282517716810147,-0.0538697242267917,0.0766410850033326
ABLLL,1.584076437273558e-17,0.00789178817202713,-0.0198026272961797,0.0221527837468601
ABLV,0.000983795509740963,0.05464314555032034,-0.1462166032521916,0.0888213814832867
ABLZF,-0.000853834385925037,0.020302366392944173,-0.0348532928673308,0.0294422180980314
ABM,-0.0032025863399109053,0.010932487911202719,-0.0261526605264947,0.0159242380270938
ABMBF,-5.843279076974508e-18,0.09589402415059362,-0.2876820724517809,0.2876820724517808
ABMC,-0.03648143055578659,0.15901886910847063,-0.6931471805599453,0.0
ABMRF,0.003720184453611968,0.01329168599211593,0.0,0.0570778658034214
ABNAF,-0.0019432520194451943,0.05672017488583832,-0.1098149413999862,0.1362687776272801
ABNB,0.005551554394075716,0.01781629698930586,-0.0215802014217045,0.0514973039108068
ABOS,-0.01322707602025415,0.04327300274856747,-0.1100009645220545,0.0540672406350073
ABQQ,-0.006639543545089894,0.13786535314224466,-0.2484613640745129,0.2135741386767371
ABR,-0.002989801832805926,0.019982889066067756,-0.0375827075454602,0.0342645607305475
ABRMF,0.012628984951658609,0.08451302872449926,-0.1326623784296499,0.2315152721917279
ABSI,0.0023023441265096942,0.05805326080341116,-0.1017827175517383,0.1438372112451831
ABSSF,-0.0067020756617739985,0.029868056944428237,-0.0697957659699703,0.0461411774295285
